Person,Die,Roll_Value,Date
Jeff,d20,1,5/7/2015
Jeff,d20,16,5/7/2015
Jeff,d20,5,5/7/2015
Jeff,d20,5,5/7/2015
Jeff,d20,15,5/7/2015
Jeff,d20,13,5/7/2015
Jeff,d20,2,5/7/2015
Jeff,d20,15,5/7/2015
Mike,d20,1,5/7/2015
Mike,d20,3,5/7/2015
Mike,d20,12,5/7/2015
Mike,d20,9,5/7/2015
Mike,d20,1,5/7/2015
Mike,d20,16,5/7/2015
Mike,d20,10,5/7/2015
Mike,d20,19,5/7/2015
Mike,d20,3,5/7/2015
Mike,d20,13,5/7/2015
Mike,d20,2,5/7/2015
Mike,d20,19,5/7/2015
Mike,d20,12,5/7/2015
Mike,d20,12,5/7/2015
Mike,d20,14,5/7/2015
Mike,d20,18,5/7/2015
Mike,d20,11,5/7/2015
Mike,d20,7,5/7/2015
Mike,d20,11,5/7/2015
Mike,d20,2,5/7/2015
Mike,d20,1,5/7/2015
Mike,d20,15,5/7/2015
Will,d20,4,5/7/2015
Will,d20,19,5/7/2015
Will,d20,1,5/7/2015
Will,d20,3,5/7/2015
Will,d20,16,5/7/2015
Will,d20,19,5/7/2015
Will,d20,2,5/7/2015
Will,d20,14,5/7/2015
Will,d20,14,5/7/2015
Will,d20,12,5/7/2015
Mel,d20,1,5/7/2015
Mel,d20,9,5/7/2015
Mel,d20,16,5/7/2015
Mel,d20,3,5/7/2015
Mel,d20,19,5/7/2015
mike,d20,7,5/14/2015
Will,d20,8,5/14/2015
mike,d20,6,5/14/2015
Mel,d20,20,5/14/2015
mike,d20,11,5/14/2015
Jeff,d20,3,5/14/2015
mike,d20,19,5/14/2015
mike,d20,12,5/14/2015
mike,d20,1,5/14/2015
mike,d20,14,5/14/2015
will,d20,19,5/14/2015
will,d20,7,5/14/2015
Mel,d20,8,5/14/2015
Mel,d20,14,5/14/2015
mike,d20,20,5/14/2015
mike,d20,7,5/14/2015
Mel,d20,16,5/14/2015
Mel,d20,1,5/14/2015
Mel,d20,14,5/14/2015
Mel,d20,9,5/14/2015
Mel,d20,6,5/14/2015
mike,d20,16,5/14/2015
Mel,d20,14,5/14/2015
Mel,d20,16,5/14/2015
Jeff,d20,13,5/14/2015
Mel,d20,19,5/14/2015
Jeff,d20,5,5/14/2015
mike,d20,1,5/14/2015
Mel,d20,18,5/14/2015
will,d20,4,5/14/2015
Jeff,d20,3,5/14/2015
Jeff,d20,15,5/14/2015
Jeff,d20,19,5/14/2015
Jeff,d20,16,5/14/2015
will,d20,18,5/14/2015
Jeff,d20,2,5/14/2015
Jeff,d20,2,5/14/2015
Mel,d20,17,5/14/2015
mike,d20,2,5/14/2015
Mel,d20,2,5/14/2015
mike,d20,12,5/14/2015
mike,d20,14,5/14/2015
mike,d20,16,5/14/2015
Jeff,d20,9,5/14/2015
Jeff,d20,3,5/14/2015
Jeff,d20,16,5/14/2015
Jeff,d20,10,5/14/2015
Jeff,d20,12,5/14/2015
Jeff,d20,15,5/14/2015
mike,d20,19,5/14/2015
Jeff,d20,8,5/14/2015
Jeff,d20,5,5/14/2015
mike,d20,19,5/14/2015
Mel,d20,18,5/14/2015
will,d20,6,5/14/2015
Jeff,d20,14,5/14/2015
mike,d20,16,5/14/2015
will,d20,1,5/14/2015
will,d20,17,5/14/2015
will,d20,9,5/14/2015
will,d20,13,5/14/2015
mike,d20,19,5/14/2015
mike,d20,5,5/14/2015
Mel,d20,1,5/14/2015
Mel,d20,4,5/14/2015
mike,d20,17,5/14/2015
will,d20,10,5/14/2015
Mel,d20,17,5/14/2015
jeff,d20,1,5/20/2015
mike,d20,10,5/20/2015
will,d20,2,5/20/2015
mike,d20,9,5/20/2015
mike,d20,2,5/20/2015
jeff,d20,10,5/20/2015
mike,d20,14,5/20/2015
mike,d20,6,5/20/2015
mel,d20,16,5/20/2015
will,d20,11,5/20/2015
mike,d20,13,5/20/2015
mike,d20,12,5/20/2015
mel,d20,20,5/20/2015
jeff,d20,6,5/20/2015
will,d20,8,5/20/2015
jeff,d20,14,5/20/2015
jeff,d20,13,5/20/2015
jeff,d20,17,5/20/2015
will,d20,8,5/20/2015
mel,d20,18,5/20/2015
will,d20,1,5/20/2015
will ,d20,5,5/20/2015
jeff,d20,9,5/20/2015
jeff,d20,19,5/20/2015
jeff,d20,13,5/20/2015
mike,d20,8,5/20/2015
mel,d20,11,5/20/2015
mel,d20,17,5/20/2015
will,d20,11,5/20/2015
mike,d20,9,5/20/2015
jeff,d20,19,5/20/2015
jeff,d20,5,5/20/2015
mike,d20,6,5/20/2015
jeff,d20,10,5/20/2015
mike,d20,17,5/20/2015
mike,d20,11,5/20/2015
mike,d20,18,5/20/2015
will,d20,18,5/20/2015
mike,d20,12,5/20/2015
jeff,d20,16,5/20/2015
will,d20,8,5/20/2015
jeff,d20,18,5/20/2015
will,d20,15,5/20/2015
mike,d20,2,5/20/2015
will,d20,15,5/20/2015
mel,d20,20,5/20/2015
jeff,d20,16,5/20/2015
will,d20,13,5/20/2015
mike,d20,1,5/20/2015
mike,d20,4,5/20/2015
mike,d20,2,5/20/2015
mike,d20,20,5/20/2015
will ,d20,16,5/20/2015
will,d20,5,5/20/2015
will,d20,1,5/20/2015
mike,d20,3,5/20/2015
mel,d20,5,5/20/2015
mike,d20,4,5/20/2015
jeff,d20,18,5/20/2015
mel,d20,3,5/20/2015
mel,d20,10,5/20/2015
